canonical_env,env_name,is_alias,scope,module,file,line,style,tool,var,snippet
<var>,<var>,,code,pixy,biopytools/pixy/utils.py,210,conda-run-var,,env_name,"f""conda run -n {env_name} --no-capture-output bcftools view -H {vcf_file} | head -n 100 | grep -c '\\t\\.\\t'"","
poplddecay_v.3.43,poplddecay_v.3.43,,code,poplddecay,biopytools/poplddecay/config.py,56,env-path,PopLDdecay,,"'~/miniforge3/envs/poplddecay_v.3.43/bin/PopLDdecay',"
primer3_v.2.6.1,primer3_v.2.6.1,,code,primer3,biopytools/primer3/config.py,24,env-path,primer3_core,,"'~/miniforge3/envs/primer3_v.2.6.1/bin/primer3_core',"
primer3_v.2.6.1,primer3_v.2.6.1,,code,primer3,biopytools/primer3/main.py,25,env-path,primer3_core,,"default='~/miniforge3/envs/primer3_v.2.6.1/bin/primer3_core',"
primer3_v.2.6.1,primer3_v.2.6.1,,code,primer3,biopytools/primer3/utils.py,75,env-path,primer3_core,,# 例如: /miniforge3/envs/primer3_v.2.6.1/bin/primer3_core
psvcp_v.1.0.1,psvcp_v.1.0.1,,code,psvcp,biopytools/psvcp/config.py,46,env-path,nucmer,,"'nucmer', '~/miniforge3/envs/psvcp_v.1.0.1/bin/nucmer', 'NUCMER_PATH')"
psvcp_v.1.0.1,psvcp_v.1.0.1,,code,psvcp,biopytools/psvcp/config.py,50,env-path,assemblytics,,"'assemblytics', '~/miniforge3/envs/psvcp_v.1.0.1/bin/assemblytics', 'ASSEMBLYTICS_PATH')"
psvcp_v.1.0.1,psvcp_v.1.0.1,,code,psvcp,biopytools/psvcp/config.py,54,env-path,bedtools,,"'bedtools', '~/miniforge3/envs/psvcp_v.1.0.1/bin/bedtools', 'BEDTOOLS_PATH')"
psvcp_v.1.0.1,psvcp_v.1.0.1,,code,psvcp,biopytools/psvcp/config.py,58,env-path,samtools,,"'samtools', '~/miniforge3/envs/psvcp_v.1.0.1/bin/samtools', 'SAMTOOLS_PATH')"
psvcp_v.1.0.1,psvcp_v.1.0.1,,code,psvcp,biopytools/psvcp/config.py,62,env-path,Rscript,,"'rscript', '~/miniforge3/envs/psvcp_v.1.0.1/bin/Rscript', 'RSCRIPT_PATH')"
psvcp_v.1.0.1,psvcp_v.1.0.1,,code,psvcp,biopytools/psvcp/config.py,66,env-path,python3,,"'python3', '~/miniforge3/envs/psvcp_v.1.0.1/bin/python3', 'PSVCP_PYTHON_PATH')"
psvcp_v.1.0.1,psvcp_v.1.0.1,,code,psvcp,biopytools/psvcp/utils.py,8,conda-run-literal,,,run via `conda run -n psvcp_v.1.0.1`.
purge_dups_v.1.2.6,purge_dups_v.1.2.6,,code,purge_dups,biopytools/purge_dups/config.py,21,env-path,,,purge_dups_path: str = '~/miniforge3/envs/purge_dups_v.1.2.6'
<var>,<var>,,code,purge_dups,biopytools/purge_dups/utils.py,113,conda-run-var,,conda_env,"full_cmd = f""conda run -n {conda_env} --no-capture-output {cmd}"""
qiime_v.2024.10.1,qiime_v.2024.10.1,,code,qiime2,biopytools/qiime2/config.py,28,env-path,qiime,,DEFAULT_QIIME_BIN = '~/miniforge3/envs/qiime_v.2024.10.1/bin/qiime'
qiime_v.2024.10.1,qiime_v.2024.10.1,,code,qiime2,biopytools/qiime2/main.py,93,env-path,qiime,,help='qiime可执行文件路径|qiime executable path (default: ~/miniforge3/envs/qiime_v.2024.10.1/bin/qiime)')
repeatmodeler_v.2.0.7,repeatmodeler_v.2.0.7,,code,repeatmask,biopytools/repeatmask/config.py,28,env-path,RepeatModeler,,repeatmodeler_path: str = '~/miniforge3/envs/repeatmodeler_v.2.0.7/bin/RepeatModeler'
repeat_identiy,repeat_identiy,,code,repeatmask,biopytools/repeatmask/config.py,29,env-path,RepeatMasker,,repeatmasker_path: str = '~/miniforge3/envs/repeat_identiy/bin/RepeatMasker'
repeatmodeler_v.2.0.7,repeatmodeler_v.2.0.7,,code,repeatmask,biopytools/repeatmask/main.py,43,env-path,RepeatModeler,,"default='~/miniforge3/envs/repeatmodeler_v.2.0.7/bin/RepeatModeler',"
